epoch,train_accuracy,train_loss,test_accuracy,test_loss,cats,dogs
1,87.15,0.30691462314128876,97.375,0.09066391386790201,99.5,95.25
2,90.3,0.24847602225188165,97.875,0.07026736199622974,99.5,96.25
3,92.4,0.1934547239136882,97.875,0.06663026805967093,98.0,97.75
4,92.95,0.17656551667535678,96.875,0.0825589791778475,99.25,94.5
5,91.4,0.20481876235431992,97.5,0.06591148811392486,98.75,96.25
6,93.4,0.151301642680075,97.125,0.06970770368789089,96.0,98.25
7,94.85,0.13017321074998472,98.375,0.05225839077742421,98.75,98.0
8,94.8,0.12467243948858231,98.75,0.048103863396390806,99.0,98.5
9,94.35,0.13858829994127153,97.625,0.05775692862560391,98.25,97.0
10,94.85,0.12836000824696384,97.625,0.0576163105663727,98.0,97.25
